diseased, loc_id, longitude, latitude, date, solar_zenith, state_qa, view_zenith, sr_b01, sr_b02, sr_b03, sr_b04, sr_b05, sr_b06, sr_b07
1, 46165, 41.77542, 9.44173, 11/19/08 0:00, 3311, 72, 748, 838, 2018, 417, 739, 2398, 2092
0, 48507, 41.7751167, 9.44055, 11/9/11 0:00, 3136, 72, 748, 869, 2106, 420, 768, 2424, 2003
0, 48509, 41.71015, 9.4400833, 11/10/11 0:00, 3139, 72, 685, 818, 2234, 366, 713, 2563, 1816
1, 46166, 41.62365, 9.42053, 11/19/08 0:00, 3315, 72, 615, 796, 2094, 400, 722, 2517, 1956
0, 48510, 41.6171667, 9.4159, 11/10/11 0:00, 3357, 72, 2313, 1012, 2490, 467, 878, 3130, 2399
0, 48511, 41.5977, 9.4102, 11/11/11 0:00, 3142, 72, 586, 934, 2270, 442, 784, 2604, 1991
1, 46182, 41.56947, 9.28938, 11/22/08 0:00, 3307, 72, 577, 603, 2320, 299, 589, 2525, 1614
1, 46181, 41.55557, 9.30258, 11/22/08 0:00, 3308, 72, 568, 626, 2068, 318, 601, 2173, 1542
1, 49866, 41.50805, 9.26834, 11/24/12 0:00, 3481, 72, 985, 915, 2425, 429, 781, 2823, 2273
1, 48242, 41.5032, 9.26856, 11/13/10 0:00, 3284, 72, 2332, 914, 2578, 478, 822, 2978, 2294
1, 48243, 41.5032, 9.26856, 11/13/10 0:00, 3284, 72, 2332, 914, 2578, 478, 822, 2978, 2294
0, 49878, 41.50102, 9.26806, 11/25/12 0:00, 3481, 72, 985, 859, 2374, 406, 742, 2976, 2072
1, 48266, 41.4883, 9.12495, 11/16/10 0:00, 3564, 72, 3511, 1181, 2813, 559, 974, 3613, 3163
1, 48269, 41.48827, 9.08891, 11/16/10 0:00, 3561, 72, 3502, 1170, 2746, 509, 940, 3736, 3042
0, 48265, 41.48818, 9.14055, 11/16/10 0:00, 3566, 72, 3511, 1168, 2825, 553, 981, 5829, 3010
1, 48268, 41.47459, 9.09885, 11/16/10 0:00, 3563, 72, 3511, 1081, 2650, 446, 875, 3492, 2864
1, 48267, 41.47298, 9.12027, 11/16/10 0:00, 3565, 72, 3521, 1000, 2727, 464, 851, 3305, 2676
1, 46168, 41.452353, 9.338047, 11/21/08 0:00, 3317, 72, 460, 605, 1885, 321, 587, 2012, 1471
0, 48515, 41.4327167, 9.3141667, 11/12/11 0:00, 3359, 72, 2442, 1060, 2789, 472, 876, 3297, 2324
1, 49867, 41.42614, 9.26409, 11/24/12 0:00, 3484, 72, 1050, 1163, 3019, 492, 935, 3947, 2944
1, 48244, 41.42609, 9.26405, 11/13/10 0:00, 3288, 72, 2396, 1035, 2838, 505, 902, 3677, 2828
1, 46167, 41.40242, 9.294, 11/19/08 0:00, 3315, 72, 423, 629, 1847, 318, 580, 2100, 1511
0, 48516, 41.38845, 9.29, 11/12/11 0:00, 3055, 8204, 4148, 554, 1796, 256, 466, 2000, 1425
1, 48245, 41.3703, 9.24954, 11/13/10 0:00, 3290, 72, 2441, 1112, 3017, 501, 928, 3452, 2815
1, 48246, 41.35862, 9.24612, 11/13/10 0:00, 3291, 72, 2450, 1130, 2950, 494, 929, 3518, 2602
0, 48517, 41.3526833, 9.2744667, 11/12/11 0:00, 3360, 72, 2506, 965, 2779, 465, 869, 3017, 2250
1, 46169, 41.33942, 9.21667, 11/19/08 0:00, 3312, 72, 369, 569, 2734, 287, 608, 2916, 1737
0, 48518, 41.3378, 9.20875, 11/12/11 0:00, 3587, 76, 4618, 785, 3369, 391, 777, 3448, 2274
1, 51195, 41.33043, 7.5554, 12/4/13 0:00, 3443, 72, 730, 547, 1912, 240, 545, 2229, 1809
1, 46170, 41.3228, 9.17785, 11/19/08 0:00, 3309, 72, 371, 547, 2808, 293, 607, 3697, 1779
0, 48527, 41.30645, 9.1715167, 11/14/11 0:00, 3354, 8200, 2524, 1000, 3131, 545, 953, 3683, 2432
1, 46171, 41.29772, 9.166, 11/19/08 0:00, 3309, 72, 343, 441, 2354, 225, 489, 2266, 1401
1, 46179, 41.29662, 9.3417, 11/21/08 0:00, 3326, 72, 298, 654, 2018, 333, 631, 2113, 1561
0, 48512, 41.2747167, 9.2184667, 11/11/11 0:00, 3361, 72, 2561, 991, 2596, 472, 870, 2886, 2188
1, 48247, 41.25963, 9.18825, 11/13/10 0:00, 3291, 72, 2516, 662, 2643, 349, 691, 3038, 1991
1, 48248, 41.23307, 9.174, 11/13/10 0:00, 3292, 8204, 2543, 772, 2716, 394, 757, 3200, 2138
1, 48250, 41.2268, 9.12525, 11/13/10 0:00, 3288, 72, 2534, 1056, 2915, 529, 951, 3490, 2890
0, 48519, 41.2231333, 9.1280333, 11/13/11 0:00, 3355, 72, 2579, 884, 2726, 435, 829, 3398, 2563
1, 51204, 41.21913, 7.337, 12/4/13 0:00, 3429, 72, 668, 993, 2663, 383, 781, 3300, 2668
1, 48249, 41.21161, 9.16468, 11/13/10 0:00, 3293, 72, 2562, 862, 2710, 406, 799, 3322, 2376
1, 51205, 41.19903, 7.403, 12/4/13 0:00, 3436, 72, 631, 991, 2453, 350, 771, 2946, 2416
1, 46173, 41.18572, 9.10435, 11/19/08 0:00, 3309, 72, 255, 613, 2193, 312, 606, 3790, 1979
1, 48251, 41.18387, 9.10291, 11/13/10 0:00, 3289, 72, 2570, 976, 2831, 490, 872, 3504, 2606
0, 48520, 41.16175, 9.0753333, 11/13/11 0:00, 3354, 72, 2626, 716, 2451, 273, 679, 2774, 2047
0, 48521, 41.1476, 9.0796333, 11/13/11 0:00, 3356, 72, 2644, 763, 2598, 398, 783, 2855, 2050
1, 51206, 41.14722, 7.442, 12/4/13 0:00, 3442, 72, 587, 932, 2769, 343, 762, 3312, 2577
1, 46172, 41.1417, 9.08167, 11/19/08 0:00, 3309, 72, 216, 560, 2011, 284, 579, 2388, 1726
1, 46174, 41.13617, 9.17772, 11/20/08 0:00, 3318, 72, 189, 575, 2010, 280, 568, 2428, 1712
1, 48252, 41.13388, 9.07682, 11/13/10 0:00, 3290, 72, 2607, 737, 2517, 422, 740, 2824, 2071
1, 51207, 41.12187, 7.4978, 12/4/13 0:00, 3448, 72, 541, 839, 2326, 325, 674, 2965, 2362
1, 51208, 41.11403, 7.5505, 12/4/13 0:00, 3453, 72, 525, 1123, 2481, 442, 861, 2935, 2821
1, 51209, 41.11403, 7.5505, 12/4/13 0:00, 3453, 72, 525, 1123, 2481, 442, 861, 2935, 2821
1, 51202, 41.1132, 7.2376, 12/4/13 0:00, 3425, 72, 586, 586, 2249, 238, 597, 2577, 2078
1, 46178, 41.11283, 9.26067, 11/21/08 0:00, 3327, 72, 143, 804, 2238, 409, 763, 2402, 1845
1, 46177, 41.1079, 9.21888, 11/21/08 0:00, 3323, 72, 161, 626, 2357, 321, 652, 2465, 1822
0, 48513, 41.1071667, 9.2191833, 11/11/11 0:00, 3370, 72, 2691, 1016, 2559, 507, 918, 3023, 2234
1, 46180, 41.1049, 9.19973, 11/21/08 0:00, 3321, 72, 154, 628, 2600, 325, 664, 2839, 2106
