diseased,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
1,37,-1692,10,-209,-1119,-607,-40
1,370,-264,182,244,-77,453,464
1,180,-544,56,43,-339,-135,61
1,348,-412,184,73,-119,266,537
1,381,-130,208,179,139,433,473
1,272,-329,189,222,-213,-127,18
1,1292,460,1230,1175,686,931,952
1,317,-766,171,157,-342,-53,79
0,979,-5,460,716,604,964,874
1,396,-340,246,287,-7,196,481
1,221,-505,171,108,-452,113,191
1,171,-38,80,91,63,209,176
1,171,-38,80,91,63,209,176
0,221,-489,132,41,-510,5,380
1,353,-156,163,171,-89,273,348
1,189,189,98,87,909,443,445
0,5,-528,-13,-97,-513,-309,-27
1,408,-189,242,202,-223,316,337
1,-88,-1946,72,-210,-2038,-1288,-672
1,-88,-1946,72,-210,-2038,-1288,-672
1,419,-678,168,156,-32,307,535
1,161,995,138,188,519,149,57
1,123,-38,54,50,-10,-12,32
1,545,-1273,227,255,-617,280,370
1,169,41,80,118,331,147,195
1,209,-639,147,81,-751,-187,76
0,219,333,127,199,452,441,273
0,-18,-703,-40,-179,-412,-318,-3
0,178,-261,68,36,-98,165,277
1,298,-500,158,173,-44,299,461
1,225,-414,208,97,-306,-147,198
0,899,-294,470,613,709,795,840
1,2679,2127,2358,2478,2157,2402,2310
0,623,279,331,501,735,613,761
1,86,-3,43,92,-1637,72,83
1,144,-928,63,-46,-600,-22,146
1,144,-928,63,-46,-600,-22,146
1,239,-454,129,48,-79,216,300
1,6,-1046,-31,-126,-1096,-419,-53
0,133,-1249,88,-165,-625,-262,124
0,160,-595,85,3,1798,-64,115
1,136,573,169,222,390,272,101
1,165,388,150,213,385,441,280
1,61,-1640,22,-173,-1455,-535,-31
1,179,-62,88,122,416,86,274
0,364,1384,222,415,1228,884,509
1,268,-369,170,122,94,-85,146
1,777,822,456,724,1070,852,803
0,794,22,415,569,803,790,767
0,255,1381,134,291,1021,704,334
1,293,-593,164,199,-136,190,198
1,117,-357,73,-34,-219,-112,23
1,247,-331,137,86,-351,-171,-4
1,414,-32,261,312,205,421,500
1,260,1467,220,287,1240,818,394
1,298,-546,215,160,-267,209,381
1,340,-282,144,144,42,307,356
1,229,-568,-215,-20,-148,182,378
1,437,431,247,314,631,618,493
1,302,-454,146,194,-391,275,430
1,209,300,113,197,-26,-50,-66
1,524,647,230,408,2227,940,730
1,232,-274,122,154,-182,366,330
1,197,-147,96,69,-32,53,175
1,198,178,97,3,247,-34,46
1,146,-366,86,13,-340,-49,46
1,172,1139,113,239,588,397,208
1,305,-468,169,60,-243,-34,132
1,438,-1109,207,156,-250,-2,282
1,192,-506,81,51,-27,157,328
1,284,-445,143,179,6,285,433
